,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
3833,alb,2004,oservices,0.2913,0.1102,0.1467,0.3305,0.0156,0.1665,0.1973,0.382,0.142,0.1192,0.0506,0.0406,0.0478,0.1944,0.0152,0.0778,0.0092,0.0041,1.3527,1.9867,0.9478,0.4487,0.0961,0.266,0.9525,2.9623,809.667,oservices,0.0187,0.0426,0.0116,0.0212,0.006,0.0836,0.1687,0.3393,0.0406,0.0272,0.0211,0.0122,0.0479,0.0427,0.0073,0.0579,0.0051,0.0004,0.0073,0.1861,0.5743,0.2343,0.0336,0.0871,0.1539,0.8428,18.0669,0.842349,0.012679,0.024347,0.01798,0.016921
3860,are,2004,oservices,0.1888,0.0584,15.8087,0.3554,0.0801,0.1018,0.4578,0.0939,0.0282,0.4187,1.7375,0.096,0.475,0.0482,3.3171,8.7251,3.0858,6.2485,4.5101,8.641,4.0833,0.8696,4.3269,0.4064,4.6752,10.1937,10996.9,oservices,0.07,0.0563,15.0587,0.2363,0.0555,0.0895,0.3326,0.0628,0.0238,0.2741,0.6916,0.06,0.422,0.0323,2.3856,7.6113,2.6399,0.0552,0.0428,0.3766,1.548,0.0584,0.3082,0.2265,2.2215,1.1147,335.398,0.9141,0.005196,0.008522,0.007509,0.007036
3885,arg,2004,obsict,251.839,6.4964,83.9202,785.318,130.642,9.6189,48.2307,46.1782,30.3346,37.5579,138.864,7.0425,80.1129,6.8087,67.5462,87.0572,35.5532,13.1632,347.31,1013.04,265.169,62.2059,71.3801,97.3678,3326.72,181.124,960.044,obsict,248.625,7.1179,211.082,450.843,22.4808,5.9817,3.8521,25.5737,12.8907,17.7036,97.9072,5.0292,53.8988,6.1234,43.0268,34.4431,1.5068,0.2838,1.8074,27.086,91.1629,6.6466,2.7954,3.0731,829.544,13.3012,11.0382,0.598557,0.03268,0.055199,0.06981,0.037199
3887,arg,2004,oservices,202.647,5.3857,76.9778,662.209,104.308,7.2396,33.2324,38.8911,21.9875,30.2127,121.837,5.3244,69.6368,5.3506,50.0077,67.5439,25.5533,14.2823,265.789,690.174,217.317,70.7294,49.9554,70.0965,210.064,158.427,33129.1,oservices,200.061,5.9009,193.62,380.168,17.9492,4.5021,2.6542,21.5381,9.3436,14.2413,85.9019,3.8023,46.8506,4.8121,31.8548,26.723,1.083,0.3079,1.3831,18.4534,74.7118,7.5573,1.9563,2.2124,52.3811,11.6345,380.907,0.79735,0.01142,0.025697,0.050058,0.013695
3914,arm,2004,oservices,2.5615,1.0366,0.6777,6.7135,2.7634,0.6146,0.4398,0.0353,0.4188,0.4585,0.0997,0.0441,2.0538,0.2521,0.2056,0.8664,7.1967,0.4583,2.9656,2.8792,0.9798,0.6276,0.5066,0.5055,0.345,0.1619,311.658,oservices,0.153,0.7518,0.202,0.2817,0.7951,0.4679,0.343,0.0092,0.1079,0.1522,0.0564,0.0341,1.9925,0.0314,0.085,0.7168,6.9441,0.0364,0.0752,0.2345,0.7027,0.2071,0.0704,0.2119,0.2936,0.1132,16.0694,0.544571,0.026782,0.038467,0.047889,0.034605
3917,aus,2004,energy,236.533,476.699,11708.4,686.18,162.716,53.0067,24.8325,11.7015,16.6051,133.708,355.943,24.4888,2061.03,69.8767,242.997,425.53,104.544,53.9444,1422.57,1663.68,2073.95,144.161,39.4083,24.2071,218.86,439.683,1196.43,energy,156.797,421.915,8792.73,269.482,60.4776,26.1804,4.1181,9.129,17.426,26.2507,195.392,16.3324,2100.04,23.3399,73.5239,167.278,18.9019,1.5986,1.669,61.147,788.827,14.4472,3.3711,2.8958,38.4899,39.287,18.758,0.433807,0.136046,0.153712,0.14307,0.131261
3924,aus,2004,paperpub,45.8786,45.9276,65.8233,385.425,160.661,19.3597,13.1583,5.4095,6.6308,2431.85,131.058,3.7036,77.182,14.1839,103.543,138.152,40.6669,11.0976,675.329,1558.63,174.308,182.223,43.7655,32.3729,216.118,488.044,1219.76,paperpub,30.4128,40.6495,49.4318,151.367,59.714,9.5619,2.1821,4.2203,6.9586,477.442,71.9433,2.4701,78.6429,4.7377,31.3291,54.3086,7.3527,0.3289,0.7923,57.286,66.2978,18.2617,3.7439,3.8726,38.0076,43.6082,19.1239,0.420045,0.009449,0.010338,0.014297,0.009074
3933,aus,2004,construction,72.8113,303.908,326.472,166.48,45.2211,9.2417,5.5311,2.6563,8.8398,27.1514,57.9774,3.0019,258.521,13.2233,77.742,108.147,28.4717,70.7493,33555.6,1059.82,307.45,217.522,21.8394,14.6664,172.12,150.711,1538.44,construction,48.2663,268.982,245.173,65.3812,16.8076,4.5645,0.9173,2.0723,9.2768,5.3306,31.8262,2.0021,263.415,4.4168,23.5225,42.5135,5.1478,2.0966,39.3689,38.9526,116.938,21.7991,1.8682,1.7545,30.2699,13.4664,24.1202,0.303726,0.000879,0.000695,0.014256,0.000893
3934,aus,2004,distribution,425.946,438.853,565.562,1654.94,687.29,118.826,84.1072,35.3945,47.4229,263.404,563.337,19.8178,685.881,98.2642,1093.24,974.907,295.573,85.3369,3778.13,50033.1,1665.36,633.02,170.09,131.824,732.906,1519.7,3610.88,distribution,282.358,388.419,424.725,649.942,255.449,58.6888,13.9479,27.6134,49.7673,51.7138,309.239,13.2171,698.864,32.8218,330.784,383.242,53.4405,2.5289,4.4327,1838.92,633.419,63.4387,14.5501,15.7695,128.893,135.789,56.6127,0.445025,0.033322,0.038622,0.074147,0.034882
3935,aus,2004,transport,261.424,192.748,445.881,1135.29,322.319,57.9458,36.4679,23.8467,39.5945,165.852,340.948,20.2576,546.331,59.5403,317.928,396.375,138.352,31.9208,2204.65,3235.48,10751.6,253.063,63.8651,39.4803,358.59,607.778,1726.88,transport,173.297,170.597,334.847,445.86,119.798,28.6199,6.0477,18.6043,41.5519,32.5615,187.161,13.5104,556.672,19.8874,96.1958,155.818,25.0145,0.9459,2.5866,118.917,4089.36,25.361,5.4632,4.7228,63.0634,54.3068,27.0746,0.368619,0.090453,0.086841,0.073067,0.090758
